,Country,Conf,New conf,Deaths,New deaths,Date
233,China,84302,15,4642,0,2020-04-23
234,Spain,208389,4211,21717,435,2020-04-23
235,Italy,187327,3370,25085,437,2020-04-23
236,Germany,148046,2352,5094,215,2020-04-23
237,China,84287,37,4642,0,2020-04-22
238,Spain,204178,3968,21282,430,2020-04-22
239,Italy,183957,2729,24648,534,2020-04-22
240,Germany,145694,2237,4879,281,2020-04-22
241,China,84250,13,4642,0,2020-04-21
242,Spain,200210,4266,20852,399,2020-04-21
243,Italy,181228,2256,24114,454,2020-04-21
244,Germany,143457,1785,4598,194,2020-04-21
245,China,84237,36,4642,0,2020-04-20
246,Spain,195944,4218,20453,410,2020-04-20
247,Italy,178972,3047,23660,433,2020-04-20
248,Germany,141672,1775,4404,110,2020-04-20
249,China,84201,21,4642,0,2020-04-19
250,Spain,191726,3658,20043,565,2020-04-19
251,Italy,175925,3491,23227,480,2020-04-19
252,Germany,139897,2458,4294,184,2020-04-19
253,China,84180,31,4642,0,2020-04-18
254,Spain,188068,5252,19478,348,2020-04-18
255,Italy,172434,3493,22747,575,2020-04-18
256,Germany,137439,3609,4110,242,2020-04-18
257,China,84149,352,4642,1290,2020-04-17
258,Spain,182816,5183,19130,551,2020-04-17
259,Italy,168941,3786,22172,525,2020-04-17
260,Germany,133830,3380,3868,299,2020-04-17
261,China,83797,52,3352,0,2020-04-16
262,Spain,177633,5092,18579,523,2020-04-16
263,Italy,165155,2667,21647,578,2020-04-16
264,Germany,130450,2866,3569,315,2020-04-16
265,China,83745,49,3352,1,2020-04-15
266,Spain,172541,3045,18056,567,2020-04-15
267,Italy,162488,2972,21069,604,2020-04-15
268,Germany,127584,2486,3254,285,2020-04-15
269,China,83696,99,3351,0,2020-04-14
270,Spain,169496,3477,17489,517,2020-04-14
271,Italy,159516,3153,20465,564,2020-04-14
272,Germany,125098,2082,2969,170,2020-04-14
273,China,83597,115,3351,2,2020-04-13
274,Spain,166019,4167,16972,619,2020-04-13
